osmid,y,x
6665151130,10.7689544,106.714141
6665151131,10.7689013,106.7140334
6665151132,10.7687389,106.7137372
6665151134,10.7684681,106.7133279
6665151135,10.7681834,106.712972
6665151136,10.7679653,106.7127333
6665151137,10.7677391,106.7125122
8370397890,10.786784,106.7277856
8370397891,10.7867603,106.7278057
8370397892,10.7867076,106.7278487
8370397893,10.7864073,106.72806
11946566421,10.7768037,106.7173579
9754125086,10.764036,106.7081119
12216312615,10.7717752,106.7007275
9708643650,10.7757725,106.706805
9708643651,10.7757556,106.706825
9708643652,10.775745,106.7068467
9708643653,10.7757428,106.7068715
9708643654,10.7757485,106.7068954
9708643655,10.7757618,106.7069169
9708643656,10.7757782,106.7069017
9708643657,10.7757905,106.7068763
9708643658,10.7757924,106.7068475
9708643659,10.775785,106.7068245
9708643660,10.7757785,106.7067278
10700203388,10.7736159,106.7057234
10700203389,10.7737453,106.7056883
10700203390,10.7736214,106.7056098
10700203391,10.7737492,106.7055781
10700203392,10.7730822,106.7051152
10700203393,10.7730816,106.7049813
12945991152,10.7698455,106.7106152
12945991153,10.766394,106.7175473
12945991154,10.7664666,106.717587
12945991155,10.7659405,106.7253346
12945991156,10.7695174,106.7254629
12945991157,10.7696718,106.7106799
2363974212,10.7649883,106.7014764
2363974217,10.7665968,106.7027933
9584519097,10.7775381,106.7294316
1767909356,10.765631,106.7010057
1767909377,10.7676253,106.702437
1767909382,10.7646006,106.699362
1767909383,10.7657093,106.7010478
1767909385,10.7671816,106.702082
1767909386,10.7663412,106.700621
1767909388,10.7682866,106.7032617
1767909391,10.7650412,106.7018067
1767909393,10.7665511,106.7016057
1767909397,10.7662741,106.7007009
1767909417,10.7663531,106.700978
1767909423,10.7639355,106.7032981
1767909424,10.764934,106.7015079
1767909425,10.7651822,106.7003312
1767909427,10.7658163,106.7008143
1767909428,10.7671768,106.6999819
1767909430,10.7646291,106.7023304
1767909438,10.7640589,106.7028804
1767909440,10.7638122,106.7031045
1767909455,10.7651372,106.7017118
2036082816,10.7758045,106.7065554
2036082818,10.7853051,106.7086652
2036082820,10.7892514,106.7102803
2036082824,10.7907442,106.7203426
2036082830,10.7895467,106.7115997
2036082834,10.7888202,106.7098683
2036082836,10.7904863,106.7205895
2036082838,10.7898659,106.7202572
2036082840,10.7847301,106.7036877
2036082844,10.7893616,106.7157812
2036082855,10.7747161,106.706182
2036082861,10.7893714,106.7214006
2036082868,10.7902488,106.720052
2036082870,10.7913843,106.7192602
2036082872,10.7897534,106.7202687
2036082874,10.7835028,106.7051249
2036082876,10.7894494,106.7119231
2036082880,10.7912579,106.7185498
2036082882,10.789316,106.7110372
2036082884,10.7882495,106.709575
2036082890,10.7894495,106.7214915
2036082904,10.7875022,106.7173057
2036082908,10.7891905,106.7106181
2036082917,10.7890041,106.7158723
2036082920,10.7888946,106.716474
2036082922,10.7889535,106.7099773
2036082924,10.7897176,106.7195978
2036082930,10.7895519,106.7117666
2036082936,10.7905862,106.7187612
2036082938,10.7897491,106.7114733
2036082940,10.7911444,106.7197399
2036082942,10.7884252,106.7094609
2036082946,10.7884169,106.7097535
2036082950,10.7890007,106.7162032
2036082952,10.7849997,106.7084988
2036082953,10.7894443,106.711796
2036082964,10.7881977,106.7093691
2036082968,10.7848627,106.7084062
2036082980,10.7881067,106.7195744
2036082985,10.789032,106.7103921
2036082987,10.7760492,106.7066704
2036083003,10.7753491,106.7057335
2036083005,10.7896428,106.7120901
2036083009,10.7857612,106.708632
2036083011,10.7897525,106.7117877
1768565067,10.7708987,106.6993567
2036083025,10.7887627,106.7089421
2036083029,10.7892759,106.7109386
2036083031,10.7906001,106.7192781
2036083037,10.790644,106.7186118
2036083039,10.7904273,106.7198646
2036083041,10.788554,106.7095013
2036083045,10.7906024,106.7188672
2036083047,10.7873545,106.71781
2036083049,10.7894375,106.7116191
12920957290,10.7799033,106.6985119
2036083051,10.7892253,106.7159547
2036083053,10.7889164,106.7102735
4066912626,10.7898098,106.7175073
4066912628,10.7904723,106.7179927
4066912629,10.7904059,106.7178513
4066912630,10.7908495,106.7180662
4066912631,10.7907523,106.7179386
4066912632,10.7905881,106.7178576
4066912633,10.7903428,106.7176988
2036083066,10.7747778,106.7064454
4066912634,10.7900688,106.7174294
2036083064,10.789706,106.7202607
4066912636,10.7909053,106.7181701
4066912635,10.7902118,106.7178125
2036083072,10.7897248,106.71133
2036083074,10.7906522,106.7187313
2036083079,10.7905612,106.7186021
2036083081,10.7895519,106.7172066
2036083083,10.7858987,106.7089917
2036083086,10.7892598,106.7104599
2036083087,10.79067,106.7184791
2036083089,10.7890018,106.7105159
2036083090,10.7860048,106.7086908
2036083091,10.7894374,106.7192295
2036083092,10.7883547,106.709867
2036083094,10.7908328,106.7151114
2036083096,10.789201,106.710812
2036083100,10.785005,106.7082863
2036083102,10.789426,106.7114842
2036083108,10.789398,106.7104836
2036083110,10.789922,106.7202472
2036083112,10.7905795,106.7195891
2036083116,10.7893504,106.7111432
2036083119,10.7868032,106.7093578
2036083125,10.7895922,106.7214415
2036083127,10.7855612,106.7087844
2036083131,10.7893898,106.7214221
2036083140,10.7895367,106.7120865
2036083158,10.7895084,106.7214784
2036083160,10.7846363,106.7035969
2036083162,10.7891207,106.7105079
2036083164,10.7832972,106.7049734
2036083168,10.7718595,106.7063094
2036083172,10.7913606,106.7193487
2036083182,10.7885155,106.7100624
2036083184,10.7897352,106.7120961
2036083190,10.7886953,106.7097844
2036083194,10.7906271,106.719465
2036083208,10.7901338,106.7201586
2036083212,10.7896768,106.7111099
2036083216,10.7886284,106.7090521
2036083218,10.7888599,106.7184041
2036083220,10.7867034,106.7089607
2036083224,10.7896358,106.7113453
2036083226,10.7905198,106.7195479
2036083228,10.7869102,106.7090457
2036083229,10.7908334,106.7202498
2036083234,10.7901854,106.7110314
2036083238,10.7907529,106.7150087
2036083240,10.7883289,106.7096034
2036083242,10.7895321,106.721473
2036083244,10.7896572,106.7110432
2036083249,10.7872239,106.7175691
2036083251,10.7883843,106.7199906
2036083253,10.7901905,106.7199955
2036083255,10.7900785,106.7200926
2036083256,10.7885766,106.7099854
2036083260,10.7881634,106.7095414
2036083264,10.7904504,106.7196821
2036083268,10.7897562,106.711628
2036083272,10.7886166,106.7101345
2036083274,10.7894814,106.7106374
2036083276,10.7884142,106.710012
2036083280,10.7883823,106.7094397
2036083282,10.7893702,106.7112121
2036083288,10.7894248,106.7169765
2036083290,10.787311,106.7177888
2036083298,10.7729853,106.7064008
2036083310,10.7891884,106.7170031
2036083316,10.7828182,106.7055038
2036083318,10.790731,106.7183252
11416775289,10.7795382,106.7411497
2036083324,10.7851295,106.7083632
