u,v,osmid,highway,length,geometry
6720471771,6720471769,715000339,service,36.165412707534415,"LINESTRING (106.6771042 10.7915981, 106.6771828 10.7917161, 106.6771245 10.7918912)"
6720471775,6720471777,715000340,service,14.192358978033003,"LINESTRING (106.6769856 10.7921701, 106.6769532 10.7921277, 106.6770104 10.7920786)"
6720471777,6720471778,715000341,service,16.41931395785584,"LINESTRING (106.6770104 10.7920786, 106.6769351 10.7919508)"
6720471777,6720471775,715000340,service,14.192358978033003,"LINESTRING (106.6770104 10.7920786, 106.6769532 10.7921277, 106.6769856 10.7921701)"
6720471777,6720471769,715000340,service,25.287993344815845,"LINESTRING (106.6770104 10.7920786, 106.6770395 10.7920536, 106.677115 10.7919628, 106.6771245 10.7918912)"
6720471778,6720471777,715000341,service,16.41931395785584,"LINESTRING (106.6769351 10.7919508, 106.6770104 10.7920786)"
6720471778,6720471779,715000342,service,19.91345008859054,"LINESTRING (106.6769351 10.7919508, 106.6767869 10.7920551)"
6720471778,1672907079,715000341,service,22.03467590618958,"LINESTRING (106.6769351 10.7919508, 106.6769009 10.7918236, 106.6769006 10.791757)"
6720471779,6720471778,715000342,service,19.91345008859054,"LINESTRING (106.6767869 10.7920551, 106.6769351 10.7919508)"
6720471782,411920895,609102700,service,8.024431955587621,"LINESTRING (106.6760328 10.7901261, 106.6759598 10.790118)"
6720471782,411920883,609102700,service,17.329590964428903,"LINESTRING (106.6760328 10.7901261, 106.6760912 10.7901325, 106.6761852 10.7901657)"
6720471782,5769562622,715000343,service,54.93853883731054,"LINESTRING (106.6760328 10.7901261, 106.6760208 10.7901991, 106.676288 10.7904616, 106.6762808 10.79051)"
6720471783,6356490190,1223404177,residential,6.724387742435617,"LINESTRING (106.6761212 10.7912441, 106.6761056 10.7913026)"
6720471783,5769562620,1223404177,residential,16.344881734355837,"LINESTRING (106.6761212 10.7912441, 106.6761591 10.7911019)"
6720471783,6720471785,715000345,residential,32.49263617625544,"LINESTRING (106.6761212 10.7912441, 106.6762952 10.7912747, 106.6762722 10.7913911)"
